City Name,Incorporation Date,1980-2019 Number Annexations,1980-2019 Acreage Annexed,Closest Incorp Year Pop Data,Percent Change Pop (Incorp to 2018),"Government Structure (Council Manager, Strong Mayor Council, Weak Mayor Council, City Commission)",City Type (Charter or General Law),"Population Estimate
 (as of July 1, 2018)",Hispanic or Latino (%),"White alone, Not Hispanic or Latino (%)","Black alone, Not Hispanic or Latino (%)","American Indian and Alaska Native alone, Not Hispanic or Latino (%)","Asian alone, Not Hispanic or Latino (%)","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino (%)","Some other race alone, Not Hispanic or Latino (%)","Two or more races alone, Not Hispanic or Latino (%)","Household Income < $10,000 (%)","Household Income $10,000 - $14,999 (%)","Household income $15,000 to $24,999 (%)","Household Income $25,000 to $34,999 (%)","Household Income $35,000 to $49,999 (%)","Household Income $50,000 to $74,999 (%)","Household Income $75,000 to $99,999 (%)","Household Income $100,000 to $149,999 (%) ","Household Income $150,000 to $199,999 (%)","Household Income $200,000 or more (%)",Household Median income (dollars),Household Mean income (dollars),Percent Democratic,Enterprise Data- Water Services Provided by Other Agencies,No Match- Other Service Ent. Data to City Web data,"Four System Categories (1=City, 2=IOU, 3=SD, 4=Multiple/Mutual/Other City)",Number of System Types for Multiple Systems,Multiple System Types,System Type,Number of Water Systems,Water Systems,% of customers served outside of local jurisdiction boundaries, Has your jurisdiction adopted programs and/or policies to improve water use efficiency?,Retrofit requirements for commercial buildings at re-sale,Retrofit requirements for residential buildings at re-sale,Regulations that prohibit development projects that would result in a net increase in water use,Ordinances for recycled water,Ordinances or landscaping standards,Development standards that require or promote low-impact development (LID),"Residential water use restrictions (e.g., limited landscape watering times)","Commercial water use restrictions (e.g., limited landscape watering times)",Requirements for water metering at residential developments,Number of Sewer Systems,Sewer Systems,Number of Trash Collectors,Trash Services,,Overall Risk Designation,Overall Rank,Overall Points,Liquidity Points,Debt Burden Points,General Fund Reserves Points,Revenue Trends Points,Pension Obligations Points,Pension Funding Points,Pension Costs Points,Future Pension Costs Points,OPEB Obligations Points,OPEB Funding Points,OpRev_2018 (Water),OpExp_2018 (Water),NonOpRev_2018 (Water),NonOpEx_2018 (Water),TransfIn (Water),TransfOut (Water),Total Income (Water) ,Total Transfers In/Out (Water),Total Tranfers / Total Income (Water),OpRev_2018 (Sewer),OpExp_2018 (Sewer),NonOpRev_2018 (Sewer),NonOpEx_2018 (Sewer),TransfIn (Sewer),TransfOut (Sewer),Total Income (Sewer),Total In/Out (Sewer) ,Tranfers / Total Income (Sewer),OpRev_2018 (Solid Waste),OpExp_2018 (Solid Waste),NonOpRev_2018 (Solid Waste),NonOpEx_2018 (Solid Waste),TransfIn (Solid Waste),TransfOut (Solid Waste),Total Income (Solid Waste) ,Transfers In/Out (Solid Waste),Total Tranfers / Total Income (Solid Waste),OpRev_2018 (Electric ),OpExp_2018 (Electric),NonOpRev_2018 (Electric),NonOpEx_2018 (Electric),TransfIn (Electric),TransfOut (Electric ),Total Income (Electric) ,Transfers In/Out (Electric),Total Tranfers / Total Income (Electric),OpRev_2018 (Gas),OpExp_2018 (Gas),NonOpRev_2018 (Gas),NonOpEx_2018 (Gas),TransfIn (Gas),TransfOut (Gas),Total Income (Gas),Transfers In/Out (Gas),% Tranfers to Total Income (Gas),Total # Enterprise Funds (Excluding Water),Total # Enterprise Finds (With Water EF included ),Water EF (Y/N),Binary City Run or No,,City Run Water With NO EF,Water EF with No City Run System,Total Revenue Gov Funds,Total Revenue Proprietary Funds        ,Total Expenditures Gov Funds        ,Total Expenditures Proprietary Funds,Revenues Less Expenditures of Gov Funds,"Income Before Capital Contributions, Transfers, and Special and Extraordinary Items of Proprietary Funds ",Transfers In (Out) Proprietary Funds,Cash and Investments: Governmental Funds ,Cash and Investments: General Fund ,Cash and Investments: Enterprise Funds 
Adelanto,1970,15,"26,114","2,164",1478.558226,Council-Manager,Charter,34160,64.7,11.9,19.3,0,1.1,0.2,0.2,2.6,9.5,6.8,13.6,16.9,15.7,17.4,10.1,7.2,2.6,0.3,40018,50103,67.88,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,AVCO Disposal/Burrtec,, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,1,1,1,,18224861,NULL,20531571,NULL,-2306710,0,NULL,26756216,8124136,
Agoura Hills,1982,1,62,"20,390",0.402157921,Council-Manager,General Law,20472,10.8,75.1,2.5,0,8,0,0.5,3.1,2.2,1.2,5.9,2.5,5.7,10.9,10.7,20.3,13.1,27.5,121896,164348,59.6,,,3,,,5,1,Las Virgenes Municipal Water District,#REF!,,,,,,,,,,,1,Las Virgenes Municipal Water District,1,G.I Industries,,LOW,366,83.48,10,11.66,23.86,3.13,10,3.9,4.44,3.89,10,2.6, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,23623223,NULL,21252345,NULL,2370878,0,NULL,14970116,8458172,
Alameda,1854,0,,460,16930,Council-Manager,Charter,78338,12,42.8,7,0.2,30.7,0.5,0.4,6.5,4.2,3.1,5.7,4.6,7.2,14,12.1,18.8,14.1,16.1,98150,122766,80.85,,,3,,,5,1,East Bay Municipal Utility District,#REF!,Yes,,,,1,1,1,1,1,,1,East Bay Muncipal Utility District,1,Alameda County Industries (ACI),,MODERATE,220,67.82,10,12.99,22.89,3.25,3.6,3.2,3.06,0.83,8,0, , , , , , ,,,,10507643,4465668,163559,1176625,NULL,-388341,5028909,-388341,-0.07722172,,,,,,,,,,64602195,54463482,930337,4695772,NULL,-8075447,6373278,-8075447,-1.267079045, , , , , , ,,,,2,2,0,0,0,,,160000000,110000000,169000000,90627916,-8968677,19099534,-6788788,128000000,38794355,50518736
Albany,1908,0,,808,2363.861386,Council-Manager,Charter,19908,12.7,46,2.4,0.6,29.6,0.5,2.2,5.9,4.5,2.1,4.7,5.1,11.5,13.2,14.5,13.7,12.1,18.7,88655,121740,88.04,,,3,,,5,1,East Bay Municipal Utility District,#REF!,,,,,,,,,,,1,East Bay Muncipal Utility District,1,Waste Management,,MODERATE,196,65.75,10,9.83,18.16,4.13,5.84,3.35,3.61,0.83,10,0, , , , , , ,,,,3533356,1567190,0,87672,NULL,NULL,1878494,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,31321703,3563680,36634586,1654862,-5312883,1908818,NULL,24787507,9364390,9251633
Alhambra,1903,1,2,"5,021",1585.899223,Council-Manager,Charter,84649,35.9,9,2,0.3,50.8,0.3,0,1.6,7,4.9,11.4,8.2,12.7,16.5,11,16.6,6.1,5.6,57117,78705,72.47,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Republic Services,,MODERATE,113,57.57,10,13.08,13.36,2.63,2.4,3.6,2.22,0.28,10,0,17865017,16942219,123945,516025,151747,-513841,530718,-362094,-0.68227194,5208405,2761478,123582,553216,314456,-307350,2017293,7106,0.003522542,9158889,9082267,28459,0,44666,-15848,105081,28818,0.274245582, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,87689462,46930089,85174680,46992149,2514782,-62060,-606738,46603666,16871235,29218429
Aliso Viejo,2001,0,,"47,823",8.280534471,Council-Manager,General Law,51783,19.1,59.4,1.8,0.3,15,0.1,0.3,4,3.1,1.4,3.8,3.6,5.6,12.4,14.6,23.4,14.9,17.2,108558,128876,52.18,,,3,1,Special Districts,6,2,Moulton Niguel Water District; El Toro Water District (only Via Iglesia area),#REF!,Yes,,,1,1,1,1,,,1,1,South Orange County Wastewater Authority,1,CR&R Environmental Services,,LOW,445,92.17,10,15,30,3.63,10,4.1,4.72,4.72,10,0, , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,25810063,NULL,22816036,NULL,2994027,0,NULL,39432052,29971042,
Alturas,1901,1,285,916,173.9082969,Weak Mayor-Council,General Law,2509,12.5,81.9,3.3,0.9,0.4,0,0,1,13.2,7.2,11.3,17.2,14.7,16.5,15,4.4,0.6,0,35888,43406,26.86,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,LOW,306,77.91,10,11.16,20.52,3.63,7.28,3.65,4.17,2.5,10,5,901357,714379,24230,73948,NULL,NULL,137260,,,730669,716919,9087,5212,NULL,NULL,17625,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,2722799,1665343,2759217,1510458,-36418,154885,NULL,4222318,449104,2125331
Amador,1915,1,0.4,377,-49.60212202,Weak Mayor-Council,General Law,190,9.6,79,0,0,0,2.4,3,6,11.8,0,6.6,31.6,0,17.1,3.9,10.5,0,18.4,42500,103230,54.1,,,3,,,5,1,Amador Water Agency,#REF!,,,,,,,,,,,1,City operated,1,ACES Waste Services Inc.,https://amadorwater.org/about/,LOW,306,77.91,10,11.16,20.52,3.63,7.28,3.65,4.17,2.5,10,5, , , , , , ,,,,120986,135002,2116,0,10341,NULL,-11900,10341,-0.8689916,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,323713,123102,195532,135002,128181,-11900,10341,2038949,2038949,67196
American Canyon,1992,8,"1,417","9,774",108.297524,Council-Manager,General Law,20359,27.8,23,7.5,0.6,35.3,0.5,0.2,5.2,2.3,4.3,4.4,5,10.3,14.8,10.1,20.1,13.4,15.4,98247,119500,71.66,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Recology,,LOW,257,71.51,10,13.49,12.01,3,9.6,3.8,3.89,4.17,10,1.55,6969122,5866069,427533,192171,NULL,-604300,1338415,-604300,-0.4515042,4440039,4468525,284079,142632,1570645,-950895,112961,619750,5.486406813,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,34246633,13706358,29180575,12030473,5066058,1675885,15452,20285100,2845544,12643537
Anaheim,1876,38,5199.1,833,42157.503,Council-Manager,Charter,352005,54,24.8,2.3,0.2,16.5,0.3,0.1,1.9,4.1,4.3,7.6,8.2,11.7,17.2,14.1,17.6,7.8,7.4,69443,90204,58.48,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,,,1,1,City operated,1,Republic Services (partner with city),,MODERATE,40,47.53,9.35,2.08,4.04,3.63,7.6,3.55,3.61,2.22,10,1.45,79074000,70087000,1057000,5776000,600000,-1536000,4268000,-936000,-0.21930647,,,,,,,,,,,,,,,,,,,444000000,374000000,2401000,21135000,492000,-23000000,51266000,-22508000,-0.439043421, , , , , , ,,,,1,2,1,1,0,,,566000000,790000000,545000000,754000000,21187003,36002000,-4228000,50883000,9482000,221000000
