city_name,number_of_water_systems,reporting_month,reported_residential_gallons_per_capita_day_r_gpcd_starting_in_september_2014,binary_city_run_or_no,four_system_categories_1_city_2_iou_3_sd_4_multiple_mutual_other_city,has_your_jurisdiction_adopted_programs_and_or_policies_to_improve_water_use_efficiency,retrofit_requirements_for_commercial_buildings_at_re_sale,retrofit_requirements_for_residential_buildings_at_re_sale,regulations_that_prohibit_development_projects_that_would_result_in_a_net_increase_in_water_use,ordinances_for_recycled_water,ordinances_or_landscaping_standards,development_standards_that_require_or_promote_low_impact_development_lid,residential_water_use_restrictions_e_g_limited_landscape_watering_times,commercial_water_use_restrictions_e_g_limited_landscape_watering_times,requirements_for_water_metering_at_residential_developments
Aliso Viejo,2,14-Sep,123.05,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Aliso Viejo,2,16-Sep,115.79,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Aliso Viejo,2,15-Sep,121.45,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Aliso Viejo,2,15-Mar,100.01,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Aliso Viejo,2,16-Mar,85.05,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Aliso Viejo,2,17-Mar,83.12,0,3,Yes,NA,NA,1,1,1,1,NA,NA,1
Cathedral City,2,15-Sep,195.74,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Cathedral City,2,17-Mar,117.75,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Cathedral City,2,15-Mar,132.5,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Cathedral City,2,14-Sep,213.9,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Cathedral City,2,16-Sep,232.75,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Cathedral City,2,16-Mar,123.55,0,3,Yes,1,1,1,NA,1,1,1,1,NA
Chula Vista,2,16-Sep,67.78,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
Chula Vista,2,15-Mar,63.97,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
Chula Vista,2,15-Sep,64.24,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
Chula Vista,2,16-Mar,54.37,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
Chula Vista,2,17-Mar,56.3,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
Chula Vista,2,14-Sep,79.74,0,3,Yes,NA,NA,NA,1,1,1,NA,NA,NA
