Fact,Fact Note,"Rancho Mirage city, California","Value Note for Rancho Mirage city, California","Indian Wells city, California","Value Note for Indian Wells city, California","Ojai city, California","Value Note for Ojai city, California","Carpinteria city, California","Value Note for Carpinteria city, California","Coronado city, California","Value Note for Coronado city, California","Imperial Beach city, California","Value Note for Imperial Beach city, California"
"Population estimates, July 1, 2019,  (V2019)",,"18,528",,"5,470",,"7,470",,"13,385",,"23,731",,"27,440",
"Population estimates base, April 1, 2010,  (V2019)",,"17,142",,"4,958",,"7,469",,"13,003",,"24,701",,"26,329",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,8.10%,,10.30%,,0.00%,,2.90%,,-3.90%,,4.20%,
"Population, Census, April 1, 2010",,"17,218",,"4,958",,"7,461",,"13,040",,"18,912",,"26,324",
"Persons under 5 years, percent",,1.20%,,0.30%,,2.40%,,5.40%,,4.40%,,6.40%,
"Persons under 18 years, percent",,6.80%,,4.40%,,19.00%,,19.20%,,18.10%,,25.00%,
"Persons 65 years and over, percent",,52.80%,,58.90%,,25.60%,,18.10%,,19.70%,,10.60%,
"Female persons, percent",,49.50%,,51.70%,,54.20%,,50.50%,,46.30%,,50.00%,
"White alone, percent",,87.30%,,94.10%,,90.30%,,75.00%,,86.70%,,70.00%,
"Black or African American alone, percent",(a),2.30%,,1.10%,,0.50%,,0.50%,,4.00%,,5.00%,
"American Indian and Alaska Native alone, percent",(a),0.40%,,0.00%,,0.60%,,0.30%,,0.70%,,1.70%,
"Asian alone, percent",(a),5.10%,,1.70%,,1.90%,,2.80%,,3.70%,,7.50%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.00%,,0.00%,,0.00%,,0.10%,,0.00%,
"Two or More Races, percent",,2.10%,,1.40%,,4.30%,,4.40%,,3.10%,,9.40%,
"Hispanic or Latino, percent",(b),9.80%,,5.30%,,15.00%,,45.00%,,15.60%,,52.30%,
"White alone, not Hispanic or Latino, percent",,81.00%,,90.50%,,79.60%,,49.00%,,74.40%,,30.70%,
"Veterans, 2014-2018",,"1,947",,793,,352,,796,,"2,919",,"2,399",
"Foreign born persons, percent, 2014-2018",,14.70%,,8.90%,,15.70%,,23.10%,,9.80%,,20.80%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,80.70%,,85.30%,,53.10%,,53.60%,,51.00%,,30.60%,
"Median value of owner-occupied housing units, 2014-2018",,"$499,900 ",,"$706,800 ",,"$693,400 ",,"$671,300 ",,"$1,537,000 ",,"$488,800 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,666 ",,"$3,074 ",,"$2,629 ",,"$2,724 ",,"$3,746 ",,"$2,243 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,"$1,050 ",,"$1,351 ",,$636 ,,$619 ,,"$1,073 ",,$412 ,
"Median gross rent, 2014-2018",,"$1,196 ",,$861 ,,"$1,553 ",,"$1,894 ",,"$2,401 ",,"$1,344 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"9,406",,"2,759",,"3,073",,"5,102",,"8,396",,"9,175",
"Persons per household, 2014-2018",,1.91,,1.92,,2.37,,2.65,,2.38,,2.91,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,85.10%,,85.30%,,87.90%,,87.10%,,78.40%,,82.00%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,13.50%,,6.10%,,17.20%,,38.20%,,14.50%,,48.80%,
"Households with a computer, percent, 2014-2018",,92.50%,,95.60%,,89.90%,,93.20%,,95.70%,,94.20%,
"Households with a broadband Internet subscription, percent, 2014-2018",,87.50%,,88.50%,,85.10%,,87.20%,,88.80%,,83.10%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,95.30%,,97.30%,,91.60%,,82.50%,,97.70%,,83.50%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,44.10%,,57.00%,,49.80%,,33.00%,,63.30%,,18.80%,
"With a disability, under age 65 years, percent, 2014-2018",,8.20%,,3.70%,,11.60%,,7.00%,,4.10%,,8.00%,
"Persons  without health insurance, under age 65 years, percent",,8.70%,,5.20%,,8.60%,,11.60%,,2.90%,,14.40%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,37.00%,,36.00%,,58.40%,,66.30%,,40.90%,,60.40%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,31.30%,,27.80%,,54.70%,,57.70%,,44.80%,,55.50%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"474,167",,"101,987",,"72,444",,"43,039",,"276,754",,"20,616",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"914,944",,D,,"33,437",,"10,734",,"129,218",,"33,726",
"Total manufacturers shipments, 2012 ($1,000)",(c),"1,515",,X,,D,,"640,346",,D,,X,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"9,504",,D,,D,,"164,120",,"6,271",,"3,347",
"Total retail sales, 2012 ($1,000)",(c),"355,953",,"28,803",,"120,076",,"146,776",,"82,281",,"45,330",
"Total retail sales per capita, 2012",(c),"$20,125 ",,"$5,619 ",,"$15,887 ",,"$11,093 ",,"$3,518 ",,"$1,689 ",
