Fact,Fact Note,"Walnut city, California","Value Note for Walnut city, California","Murrieta city, California","Value Note for Murrieta city, California","Fontana city, California","Value Note for Fontana city, California","Pleasant Hill city, California","Value Note for Pleasant Hill city, California",United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"29,685",,"116,223",,"214,547",,"34,839",,"328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"29,177",,"103,731",,"196,458",,"33,076",,"308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,1.70%,,12.00%,,9.20%,,5.30%,,6.30%,
"Population, Census, April 1, 2010",,"29,172",,"103,466",,"196,069",,"33,152",,"308,745,538",
"Persons under 5 years, percent",,4.30%,,7.00%,,7.00%,,6.80%,,6.00%,
"Persons under 18 years, percent",,18.50%,,28.80%,,28.60%,,19.80%,,22.30%,
"Persons 65 years and over, percent",,18.60%,,12.00%,,7.30%,,15.40%,,16.50%,
"Female persons, percent",,50.20%,,52.00%,,50.50%,,51.80%,,50.80%,
"White alone, percent",,20.90%,,65.70%,,39.00%,,73.40%,,76.30%,
"Black or African American alone, percent",(a),3.30%,,5.40%,,8.60%,,2.20%,,13.40%,
"American Indian and Alaska Native alone, percent",(a),0.40%,,0.70%,,0.70%,,0.10%,,1.30%,
"Asian alone, percent",(a),63.40%,,9.30%,,6.30%,,13.60%,,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,,0.50%,,0.20%,,0.60%,,0.20%,
"Two or More Races, percent",,3.60%,,8.30%,,4.70%,,6.90%,,2.80%,
"Hispanic or Latino, percent",(b),20.10%,,29.70%,,69.30%,,13.60%,,18.50%,
"White alone, not Hispanic or Latino, percent",,11.20%,,49.80%,,13.80%,,64.80%,,60.10%,
"Veterans, 2014-2018",,906,,"7,734",,"4,545",,"1,297",,"18,611,432",
"Foreign born persons, percent, 2014-2018",,50.10%,,15.30%,,27.10%,,19.20%,,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,"139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,84.80%,,66.30%,,64.60%,,63.80%,,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$739,100 ",,"$390,800 ",,"$351,700 ",,"$680,500 ",,"$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,706 ",,"$2,300 ",,"$2,014 ",,"$2,652 ",,"$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$673 ,,$639 ,,$497 ,,$633 ,,$490 ,
"Median gross rent, 2014-2018",,"$2,251 ",,"$1,694 ",,"$1,288 ",,"$1,946 ",,"$1,023 ",
"Building permits, 2019",,X,,X,,X,,X,,"1,386,048",
"Households, 2014-2018",,"9,038",,"32,212",,"53,510",,"13,679",,"119,730,128",
"Persons per household, 2014-2018",,3.31,,3.44,,3.89,,2.51,,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,91.80%,,82.80%,,89.50%,,86.20%,,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,65.80%,,24.30%,,58.40%,,21.90%,,21.50%,
"Households with a computer, percent, 2014-2018",,97.80%,,96.70%,,94.30%,,95.60%,,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,94.00%,,91.60%,,84.10%,,93.10%,,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,92.20%,,90.90%,,74.90%,,96.90%,,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,52.90%,,30.10%,,17.10%,,55.50%,,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,3.00%,,6.50%,,5.50%,,5.40%,,8.60%,
"Persons  without health insurance, under age 65 years, percent",,6.10%,,7.90%,,12.00%,,4.00%,,10.00%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,58.70%,,63.00%,,66.30%,,66.00%,,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,53.00%,,55.60%,,58.70%,,59.90%,,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"29,050",,"135,859",,"188,374",,"106,052",,"708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"44,067",,"539,515",,"1,486,568",,"192,329",,"2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"84,617",,"108,863",,"1,574,629",,D,,"5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"557,576",,"425,561",,"1,811,511",,"112,367",,"5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"232,542",,"1,082,741",,"2,145,066",,"607,455",,"4,219,821,871",
"Total retail sales per capita, 2012",(c),"$7,749 ",,"$10,137 ",,"$10,629 ",,"$17,956 ",,"$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,36.7,,36.2,,33.7,,34.2,,26.6,
